Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,9.520,2.761,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_1,8.698,4.538,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_2,9.268,2.085,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_3,11.001,4.551,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_4,10.629,3.543,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_5,10.171,1.946,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_6,8.937,3.243,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_7,9.517,3.606,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_8,9.820,4.480,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
1,drone_9,10.455,2.898,4.969,14.235,"2.764762553237161,8.845972705722804,1.0148207546163996;7.896060853703057,16.38947964841602,1.045648370302855;12.539714244217887,2.4063097571829766,1.611658316617313;15.948784186881126,12.421319067541797,1.3664555046752482;6.698914442050968,17.811476816108673,0.3238923991577725;5.0473755719719815,6.005568891977294,0.840810833902131;16.23918868165167,4.9599441551454735,2.134998446263346;3.009773917925561,2.3637812348839073,0.7165137560698899;13.134671834086403,14.835267711620313,1.278669347462976;3.8830763989218884,7.874839159538972,1.1468237428396963;15.803206552587339,18.938643633301616,0.35065382008817736;3.5674828108843886,6.144364193844914,1.2205029477013385;16.981748226383374,17.628240165096667,2.0769313598219097;16.0420663049695,17.395083661756082,0.24893868650328776;10.282010942961488,12.699615780525114,2.408869558470701"
