Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_8,4.5765,4.4281,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
1,drone_9,2.6831,4.9400,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
2,drone_1,5.1683,2.4070,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
2,drone_4,3.0064,4.4361,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
2,drone_5,4.5697,3.2318,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
2,drone_6,2.4284,4.0168,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
2,drone_8,4.7094,4.4970,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
2,drone_9,2.7317,5.0397,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
3,drone_1,5.3304,2.5060,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
3,drone_4,3.1038,4.5026,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
3,drone_5,4.7356,3.3137,17.0000,17.0000,"9.576,6.726,0.583;13.275,14.325,1.276;11.517,5.411,1.158;9.720,6.932,1.172;5.065,9.055,1.195;8.170,9.302,1.495;9.129,10.528,0.700"
