Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_6,6.186,4.203,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
1,drone_7,4.893,5.679,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
1,drone_8,7.454,6.340,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
1,drone_9,5.627,6.112,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
2,drone_0,5.256,6.820,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
2,drone_1,7.643,5.779,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
2,drone_2,6.655,6.368,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
2,drone_3,5.825,5.559,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
2,drone_4,6.858,3.776,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
2,drone_5,6.755,4.997,17.215,16.632,"8.381536802614374,15.645386926865605,2.2319027312967377;17.190324245034116,2.421463857071891,0.6776678883001677;3.2615625727849817,8.3544377481493,0.3671891500399085;13.60461079781209,6.627395103781679,0.9697877389448021;16.820821456718967,9.886225153205432,2.3999316028907405;12.842665985080828,4.425968797263133,2.2195545895469575;2.834701931749399,0.7080423838619189,0.49850061481725705;5.580058080956569,11.662484206041817,1.1015183644383204;4.624617152477342,4.178229652305411,1.2385287207117108;7.422027409394987,4.482930413125721,0.41470889590052196;2.750015568225545,6.326656217715903,0.31486453468759623;17.369125783326282,6.847124416371747,2.305452967503849"
