Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
28,0,10,0,0.0,35,17.0,17.0,37,clustered,1
29,0,10,0,0.0,29,17.0,17.0,30,clustered,1
30,0,10,0,0.0,50,17.0,17.0,63,clustered,1
31,0,10,0,0.0,54,17.0,17.0,62,clustered,1
32,0,10,0,0.0,45,17.0,17.0,40,clustered,1
33,5,5,0,8.064516129032258,62,17.0,17.0,51,clustered,1
34,0,10,0,0.0,55,17.0,17.0,47,clustered,1
35,3,6,1,0.375,800,17.0,17.0,38,clustered,1
36,1,9,0,1.4285714285714286,70,17.0,17.0,78,clustered,1
37,0,10,0,0.0,55,17.0,17.0,59,clustered,1
38,1,9,0,1.4925373134328357,67,17.0,17.0,41,clustered,1
39,1,9,0,1.0416666666666665,96,17.0,17.0,46,clustered,1
40,0,10,0,0.0,48,17.0,17.0,45,clustered,1
41,4,5,1,0.5,800,17.0,17.0,35,clustered,1
42,2,8,0,2.8169014084507045,71,17.0,17.0,47,clustered,1
43,3,7,0,2.8301886792452833,106,17.0,17.0,49,clustered,1
44,1,9,0,1.1904761904761905,84,17.0,17.0,49,clustered,1
45,0,10,0,0.0,50,17.0,17.0,60,clustered,1
46,1,9,0,1.2658227848101267,79,17.0,17.0,40,clustered,1
47,0,10,0,0.0,51,17.0,17.0,53,clustered,1
48,0,10,0,0.0,59,17.0,17.0,61,clustered,1
49,0,10,0,0.0,38,17.0,17.0,64,clustered,1
50,0,9,1,0.0,800,17.0,17.0,55,clustered,1
51,1,8,1,0.125,800,17.0,17.0,47,clustered,1
52,0,10,0,0.0,61,17.0,17.0,23,clustered,1
53,0,10,0,0.0,41,17.0,17.0,60,clustered,1
54,0,10,0,0.0,56,17.0,17.0,61,clustered,1
55,0,10,0,0.0,61,17.0,17.0,56,clustered,1
56,7,3,0,13.20754716981132,53,17.0,17.0,57,clustered,1
57,0,10,0,0.0,23,17.0,17.0,60,clustered,1
58,0,10,0,0.0,64,17.0,17.0,54,clustered,1
59,3,7,0,3.4090909090909087,88,17.0,17.0,44,clustered,1
60,2,8,0,2.380952380952381,84,17.0,17.0,52,clustered,1
61,1,8,1,0.125,800,17.0,17.0,62,clustered,1
62,3,7,0,4.838709677419355,62,17.0,17.0,31,clustered,1
63,0,10,0,0.0,54,17.0,17.0,42,clustered,1
64,0,10,0,0.0,56,17.0,17.0,52,clustered,1
65,0,10,0,0.0,70,17.0,17.0,57,clustered,1
66,0,10,0,0.0,24,17.0,17.0,63,clustered,1
67,0,10,0,0.0,52,17.0,17.0,39,clustered,1
68,0,10,0,0.0,56,17.0,17.0,40,clustered,1
69,0,10,0,0.0,52,17.0,17.0,62,clustered,1
70,2,8,0,3.225806451612903,62,17.0,17.0,52,clustered,1
71,0,10,0,0.0,36,17.0,17.0,79,clustered,1
72,3,7,0,3.896103896103896,77,17.0,17.0,44,clustered,1
73,0,10,0,0.0,41,17.0,17.0,40,clustered,1
74,0,10,0,0.0,32,17.0,17.0,43,clustered,1
75,0,10,0,0.0,26,17.0,17.0,55,clustered,1
76,0,10,0,0.0,33,17.0,17.0,41,clustered,1
77,0,10,0,0.0,45,17.0,17.0,61,clustered,1
78,0,10,0,0.0,32,17.0,17.0,50,clustered,1
79,1,9,0,1.1904761904761905,84,17.0,17.0,59,clustered,1
80,5,4,1,0.625,800,17.0,17.0,38,clustered,1
81,1,9,0,1.9607843137254901,51,17.0,17.0,40,clustered,1
82,2,7,1,0.25,800,17.0,17.0,44,clustered,1
83,0,10,0,0.0,26,17.0,17.0,41,clustered,1
84,0,10,0,0.0,26,17.0,17.0,48,clustered,1
85,0,10,0,0.0,32,17.0,17.0,34,clustered,1
86,0,10,0,0.0,50,17.0,17.0,54,clustered,1
87,0,10,0,0.0,63,17.0,17.0,45,clustered,1
88,2,8,0,2.666666666666667,75,17.0,17.0,53,clustered,1
89,3,6,1,0.375,800,17.0,17.0,47,clustered,1
90,0,10,0,0.0,26,17.0,17.0,53,clustered,1
91,2,8,0,3.508771929824561,57,17.0,17.0,35,clustered,1
92,0,10,0,0.0,30,17.0,17.0,50,clustered,1
93,2,8,0,3.3333333333333335,60,17.0,17.0,47,clustered,1
94,0,10,0,0.0,63,17.0,17.0,55,clustered,1
95,0,10,0,0.0,25,17.0,17.0,29,clustered,1
96,2,8,0,3.7735849056603774,53,17.0,17.0,33,clustered,1
97,2,7,1,0.25,800,17.0,17.0,36,clustered,1
98,3,7,0,5.454545454545454,55,17.0,17.0,54,clustered,1
99,0,10,0,0.0,48,17.0,17.0,38,clustered,1
100,2,7,1,0.25,800,17.0,17.0,45,clustered,1
1,2,8,0,2.7027027027027026,74,17.0,17.0,72,random,2
2,0,10,0,0.0,59,17.0,17.0,70,random,2
3,0,10,0,0.0,53,17.0,17.0,76,random,2
4,0,10,0,0.0,43,17.0,17.0,74,random,2
5,1,8,1,0.125,800,17.0,17.0,81,random,2
6,0,10,0,0.0,52,17.0,17.0,50,random,2
7,0,10,0,0.0,58,17.0,17.0,77,random,2
8,0,10,0,0.0,44,17.0,17.0,81,random,2
9,0,10,0,0.0,50,17.0,17.0,50,random,2
10,0,10,0,0.0,48,17.0,17.0,71,random,2
11,0,10,0,0.0,75,17.0,17.0,49,random,2
12,1,9,0,1.5384615384615385,65,17.0,17.0,73,random,2
13,1,9,0,1.639344262295082,61,17.0,17.0,89,random,2
14,0,10,0,0.0,44,17.0,17.0,87,random,2
15,1,9,0,1.4492753623188406,69,17.0,17.0,93,random,2
16,1,9,0,1.6129032258064515,62,17.0,17.0,67,random,2
17,0,10,0,0.0,49,17.0,17.0,76,random,2
18,0,10,0,0.0,58,17.0,17.0,69,random,2
19,3,7,0,4.0,75,17.0,17.0,92,random,2
20,0,10,0,0.0,72,17.0,17.0,81,random,2
21,0,10,0,0.0,32,17.0,17.0,80,random,2
