Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
4,drone_3,5.3695,2.5352,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_4,2.7250,4.7117,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_5,5.3396,4.6193,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_6,4.5692,3.9515,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_7,3.3389,3.3933,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_8,3.4103,5.4006,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
4,drone_9,3.9562,4.2829,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_0,4.5165,5.2945,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_1,4.5314,3.1229,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_2,3.5829,2.5682,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_3,5.5471,2.6271,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_4,2.8071,4.8941,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_5,5.4999,4.7388,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_6,4.7324,4.0671,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_7,3.5280,3.4585,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_8,3.5445,5.5490,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
5,drone_9,4.1530,4.3183,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_0,4.6766,5.4144,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_1,4.7270,3.1647,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_2,3.7472,2.6821,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_3,5.7254,2.7177,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_4,2.8820,5.0795,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_5,5.6589,4.8603,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_6,4.9039,4.1701,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_7,3.7195,3.5163,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
6,drone_8,3.6759,5.6997,17.0000,17.0000,"7.707,9.442,1.320;5.344,11.879,0.864;7.349,10.888,0.818;10.363,7.264,0.776;8.774,6.751,1.451;9.976,8.479,0.937;8.872,13.204,1.355"
